"jenis_kelamin","umur","asal","penempatan","gaji","pendidikan","IPK","pengalaman","jenis_rekrut","id","status_rekrut"
"1","1","2","2","3","1",3.31,"4","2","1","1"
"0","3","19","13","4","0",1.18,"5","2","2","0"
"1","1","15","8","5","0",1.59,"5","1","3","0"
"1","2","14","14","2","2",3.48,"3","2","4","1"
"1","1","21","21","1","1",3.2,"1","1","5","1"
"1","1","9","27","3","0",2.97,"1","1","11","0"
"0","3","16","34","3","0",2.58,"0","1","12","0"
"1","1","29","16","3","0",1.19,"0","2","13","0"
"0","1","4","4","3","1",3.27,"4","2","14","1"
"1","1","5","26","3","0",2.99,"2","1","15","0"
"0","1","32","27","5","0",2.97,"3","1","16","0"
"1","2","11","28","3","0",2.81,"0","1","17","0"
"1","1","31","13","5","0",1.47,"3","1","18","0"
"0","2","11","11","3","1",3.67,"4","2","19","1"
"0","2","7","7","1","2",3.9,"1","1","20","1"
"0","1","31","31","3","2",3.36,"2","2","21","1"
"1","2","34","34","2","2",3.9,"1","1","22","1"
"1","1","29","6","3","0",1.29,"1","2","23","0"
"1","2","14","14","1","2",3.5,"2","1","24","1"
"0","1","17","17","3","2",3.52,"2","2","25","1"
"1","1","29","29","2","1",3.32,"3","2","26","1"
"1","3","19","28","4","0",1.62,"5","2","27","0"
"1","1","14","2","4","0",1.58,"2","1","28","0"
"1","1","10","10","3","2",3.66,"2","2","29","1"
"1","2","14","14","3","2",3.87,"4","2","30","1"
"0","1","6","6","1","1",3.6,"2","1","31","1"
"1","1","4","6","4","0",1.57,"1","1","32","0"
"0","1","26","26","2","2",3.6,"2","1","33","1"
"1","3","11","21","3","0",1.06,"1","2","34","0"
"0","1","7","7","5","0",2.54,"5","1","35","0"
"0","2","29","18","5","0",1.54,"3","2","36","0"
"0","1","32","32","2","1",3.47,"3","2","43","1"
"0","3","7","30","3","0",2.88,"1","2","44","0"
"1","2","17","30","5","0",2.76,"4","2","45","0"
"0","2","20","20","2","2",3.8,"1","1","46","1"
"1","2","20","20","1","2",3.1,"1","1","47","1"
"0","1","15","15","2","1",3.3,"0","1","48","1"
"1","3","24","27","3","0",1.77,"1","2","49","0"
"0","3","2","31","5","0",2.83,"3","2","50","0"
"0","1","32","32","1","1",3.4,"0","1","51","1"
"0","3","31","26","5","0",2.73,"5","2","52","0"
"1","1","10","10","2","1",3.6,"1","1","53","1"
"1","1","2","31","4","0",1.47,"5","1","54","0"
"0","1","21","12","5","0",1.84,"1","2","61","0"
"1","2","28","28","1","2",4.0,"2","1","62","1"
"1","1","6","6","2","2",3.5,"0","1","63","1"
"0","3","15","10","3","0",1.67,"0","1","64","0"
"0","1","6","17","4","0",2.22,"2","1","65","0"
"1","2","17","18","5","0",2.71,"0","2","66","0"
"0","1","20","20","3","1",3.43,"3","2","67","1"
"0","2","21","21","3","3",3.82,"3","2","68","1"
"0","1","7","2","5","0",2.76,"0","1","69","0"
"0","1","31","21","5","0",1.1,"3","2","70","0"
"1","3","1","17","4","0",1.8,"1","2","71","0"
"0","3","24","17","4","0",1.92,"0","2","72","0"
"1","3","13","31","5","0",1.65,"1","1","73","0"
"1","1","21","2","3","0",2.94,"4","2","74","0"
"0","1","24","20","3","0",1.45,"4","1","82","0"
"0","2","1","28","5","0",2.96,"0","1","83","0"
"1","2","14","14","2","1",3.6,"2","1","84","1"
"1","3","8","17","5","0",2.82,"5","1","85","0"
"1","2","16","7","3","0",2.41,"5","2","86","0"
"0","3","5","33","4","0",1.38,"4","1","87","0"
"1","1","34","13","5","0",2.3,"5","2","88","0"
"0","1","10","23","4","0",1.86,"3","2","89","0"
"0","1","8","8","3","1",3.69,"3","2","90","1"
"0","1","3","23","4","0",1.4,"4","2","91","0"
"0","2","6","33","3","0",2.91,"2","2","92","0"
"1","1","27","27","2","1",3.96,"2","2","93","1"
"1","2","1","1","2","1",3.95,"4","2","94","1"
"1","2","33","13","4","0",1.02,"1","2","95","0"
"1","1","20","32","3","0",1.14,"1","2","96","0"
"1","1","20","20","2","2",3.3,"4","2","104","1"
"1","2","16","16","2","2",3.34,"2","2","105","1"
"0","2","10","10","2","1",1.18,"2","2","106","1"
"1","1","18","24","4","0",1.59,"4","1","107","0"
"1","2","2","15","5","0",3.48,"0","2","108","0"
"0","2","27","18","4","0",3.2,"1","1","109","0"
"0","3","11","33","3","0",1.15,"2","1","110","0"
"0","2","15","15","2","2",2.95,"2","1","111","1"
"0","1","9","3","3","0",2.63,"2","1","112","0"
"1","1","31","31","1","1",1.15,"0","1","113","1"
"0","2","6","6","1","2",1.97,"0","1","114","1"
"0","1","2","2","1","2",2.97,"2","1","115","1"
"0","1","17","17","2","1",2.58,"3","2","116","1"
"0","2","25","13","4","0",1.19,"4","2","117","0"
"1","1","5","7","5","0",3.27,"5","2","118","0"
"1","1","25","25","1","2",2.99,"2","1","119","1"
"1","1","22","1","5","0",2.97,"0","2","120","0"
"1","2","24","27","5","0",2.81,"4","1","121","0"
"1","3","17","20","4","0",1.47,"3","1","122","0"
"1","1","20","20","2","3",3.67,"3","2","123","1"
"0","2","10","10","2","1",3.9,"2","1","124","1"
"0","2","9","9","3","1",3.36,"3","2","125","1"
"1","1","1","1","3","1",3.9,"4","2","126","1"
"0","1","27","27","2","3",3.76,"3","2","127","1"
"1","1","25","10","5","0",1.38,"3","2","128","0"
"0","2","17","17","1","2",3.9,"1","1","129","1"
"1","1","20","20","2","1",3.75,"4","2","130","1"
"0","3","27","1","4","0",2.21,"0","2","131","0"
"0","2","19","19","2","2",3.5,"0","1","132","1"
"1","1","33","33","2","1",3.7,"2","1","133","1"
"0","2","31","31","1","2",3.7,"1","1","134","1"
"1","1","31","22","4","0",1.85,"0","1","135","0"
"1","2","29","31","4","0",2.77,"0","1","136","0"
"0","1","19","19","1","2",3.3,"2","1","137","1"
"0","1","19","3","5","0",1.32,"1","1","138","0"
"1","2","27","27","1","2",3.9,"0","1","139","1"
"1","3","4","17","4","0",1.55,"4","2","140","0"
"1","2","18","22","4","0",2.41,"4","1","141","0"
"0","1","17","4","5","0",1.06,"0","1","142","0"
"1","3","18","18","2","1",3.2,"0","1","143","1"
"0","1","21","2","5","0",2.09,"1","1","144","0"
"0","1","5","30","3","0",2.8,"5","2","145","0"
"1","1","22","32","4","0",1.66,"2","1","146","0"
